Location,Boundary
529-A,10.96.112.0/24
529-B,10.97.40.0/24
Abilene,10.80.108.0/24
Allentown,10.96.128.0/24
Amarillo,10.97.208.0/24
Amarillo - Alternate,192.168.219.0/24
Anchorage,10.97.72.0/24
Avilla,10.96.0.0/24
BDC,10.97.48.0/24
Beaumont,10.96.104.0/24
Beaumont - Alternate,192.168.108.0/24
Billings,10.97.224.0/24
Billings - Alternate,192.168.123.0/24
Bosch,10.96.96.0/24
Bossier City,10.97.232.0/24
Bossier City - Alternate,192.168.150.0/24
Brighton,192.168.131.0/24
"Broussard, LA",192.168.143.0/24
Calgary,10.96.56.0/24
Casper,10.98.0.0/24
Casper - Alternate,10.80.80.0/24
Casper - Alternate2,10.80.62.0/24
Charlotte,10.99.216.0/24
Cherokee,10.96.80.0/24
Cincinnati,192.168.125.0/24
Citrix Servers (New Farm),10.128.18.0/24
Citrix Servers (Old Farm),10.128.17.0/24
Cleburn,192.168.10.0/24
Corpus Christi,192.168.124.0/24
Denver,10.98.32.0/24
Denver - Alternate,192.168.132.0/24
DF - Evansville,10.98.40.0/24
DF - Evansville - Alternate,10.80.28.0/24
DF - Louisville,10.98.48.0/24
DF - Nashville,10.100.88.0/24
DF - North Royalton,10.98.56.0/24
DF - Pickerington,10.98.64.0/24
Dickinson,10.96.168.0/24
Dilley,10.96.88.0/24
DLT - Broussard,10.97.152.0/24
DLT - Denham Springs,10.98.72.0/24
DLT - Denham Springs - Alternate,192.168.145.0/24
DLT - Metairie,192.168.154.32/27
DLT - Mobile,10.98.80.0/24
DLT - Ruston,10.98.88.0/24
DXP - Odessa,192.168.155.0/24
DXP - Odessa - Alternate,10.80.14.0/24
Edmonton,10.96.48.0/24
Elk City,192.168.139.0/24
Farmington,10.96.144.0/24
Fort Collins,10.98.112.0/24
Galena Park,192.168.162.0/24
GCT Galveston,10.97.0.0/24
Gillette,192.168.121.0/24
Grand Prarie,10.98.136.0/24
Greeley,10.80.24.0/24
Greeley,10.98.144.0/24
Greeley - Alternate,192.168.129.0/24
Gulf Coast Torch,10.96.72.0/24
Harahan,192.168.146.0/24
Hobbs IFS,10.80.74.0/24
Hobbs NM,10.98.176.0/24
Hobbs NM - Alternate,192.168.106.0/24
Hollister (1st Floor),10.96.240.0/24
Hollister (2nd Floor),10.96.244.0/24
Hollister (3rd Floor),10.96.248.0/24
Hollister (4th Floor),10.96.252.0/24
Hopkinton,10.96.8.0/24
Hose Shop (Pinemont),10.96.64.0/24
Indianapolis,10.96.192.0/24
Jamestown,10.80.90.0/24
Jerzy Deer Park,10.96.184.0/24
Jerzy Houston,10.96.176.0/24
KC - Corning,10.100.48.0/24
KC - Corning - Alternate,10.80.98.0/24
KC - Falconer - Alternate,10.80.90.0/24
KC - Marietta,10.100.56.0/24
KC - Rochester,10.80.88.0/24
Kemah,10.97.24.0/24
LaPorte,10.97.16.0/24
Lenexa,10.96.160.0/24
Lexington,10.96.152.0/24
Longview Sepco,10.98.184.0/24
Longview Smith,10.98.192.0/24
Lufkin,10.98.208.0/24
Mechanicsburg (Tucker),10.97.32.0/24
MidCon Wichita,10.96.208.0/24
Minot DMVPN,10.96.136.0/24
Moultrie,10.98.216.0/24
Moultrie - Alternate,10.80.40.0/24
MTS - Brookfield,10.99.48.0/24
MTS - Schaumburg,10.97.216.0/24
NatPro - Calgary,10.10.29.0/24
NatPro - Datacenter,10.10.1.0/24
NatPro - Edmonton,10.10.21.0/24
NatPro - Montreal,10.10.10.0/24
NatPro - Saskatoon,10.10.26.0/24
NatPro - Toronto,10.10.17.0/24
NatPro - Vancouver,10.10.22.0/24
NatPro - Winnipeg,10.10.24.0/24
New Minot,10.100.64.0/24
Odessa Prod Pump,10.98.232.0/24
Odessa Safety International,10.98.224.0/24
Oklahoma City,10.98.240.0/24
Oklahoma City,192.168.156.0/24
Omaha - NE ODC,10.78.27.0/24
Omaha - NE ODC - Alternate,10.99.96.0/24
Omaha HYD,10.97.80.0/24
Omaha ODT,10.97.88.0/24
Omaha Servers,10.129.16.0/24
Orlando,10.80.48.0/24
Orlando - Alternate,10.80.47.0/24
PI - Agin,10.97.96.0/24
PI - AMGA - H1,10.78.39.0/24
PI - AMGA - H2,10.78.40.0/24
PI - AMGB,10.78.82.0/24
PI - AUIN,10.99.32.0/24
